"","ID","Box","reculture_date","useable_27May2025","notes_27May2025","storage_type","Molecular ID"
"141","SLO8",NA,NA,"yes","none","mysterybox",NA
"142","SLOG","13","241212","yes",NA,"cabinet","Suillus Caerulescens"
"143","SLOG","8","241212","yes",NA,"incubator","Suillus Caerulescens"
"144","SP07","13","? found here during 27May2025 inventory","yes",NA,"cabinet","Suillus pungens"
"145","SP07","14","241204","yes",NA,"cabinet","Suillus pungens"
"146","SP07","10","241204","yes",NA,"incubator","Suillus pungens"
"147","SP08","9","241210","yes",NA,"incubator","Suillus pungens"
"148","SP08","14","241210","yes",NA,"cabinet","Suillus pungens"
"149","SPHABR","6","241121","yes",NA,"cabinet","Sphaerosporella brunnea"
"150","SPHABR","12","241121","yes",NA,"incubator","Sphaerosporella brunnea"
"151","ST01","14","241121","yes",NA,"cabinet","Suillus tomentosus"
"152","ST01","12","241121","yes",NA,"incubator","Suillus tomentosus"
"153","SUILA","9","241210","yes",NA,"incubator",NA
"154","SUILA",NA,NA,"yes","none","mysterybox",NA
"155","SUILLA","14","241210","yes",NA,"cabinet","Suillus lakei"
"156","TM05","intake box","never","not a lot of growth - unclear if it worked","none","intake",NA
"157","TM07","intake box","never","not a lot of growth - unclear if it worked","none","intake",NA
"158","TRINA","5","241205","yes",NA,"cabinet","""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out."""
"159","TRINA","19","250109","not useable",NA,"incubator","""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out."""
"160","URSULA","13","241212","yes",NA,"cabinet","Cortinarius violaceus"
"161","URSULA","8","241212","yes",NA,"incubator","Cortinarius violaceus"
